Finished,UserLanguage,Consent,Prolific ID ,1_Arousal_1,1_Valence_1,2_Arousal_1,2_Valence_1,3_Arousal_1,3_Valence_1,4_Arousal_1,4_Valence_1,5_Arousal_1,5_Valence_1,6_Arousal_1,6_Valence_1,7_Arousal_1,7_Valence_1,8_Arousal_1,8_Valence_1,9_Arousal_1,9_Valence_1,10_Arousal_1,10_Valence_1,11_Arousal_1,11_Valence_1,12_Arousal_1,12_Valence_1,13_Arousal_1,13_Valence_1,14_Arousal_1,14_Valence_1,15_Arousal_1,15_Valence_1,16_Arousal_1,16_Valence_1,17_Arousal_1,17_Valence_1,18_Arousal_1,18_Valence_1,19_Arousal_1,19_Valence_1,20_Arousal_1,20_Valence_1,21_Arousal_1,21_Valence_1,22_Arousal_1,22_Valence_1,23_Arousal_1,23_Valence_1,24_Arousal_1,24_Valence_1,25_Arousal_1,25_Valence_1,26_Arousal_1,26_Valence_1,27_Arousal_1,27_Valence_1,28_Arousal_1,28_Valence_1
TRUE,EN,I agree,603758e41c4468b882a74700,5,6,6,7,8,3,5,3,5,6,4,6,5,2,5,6,7,8,5,3,5,4,6,1,5,4,8,7,7,3,5,7,6,2,7,8,3,8,7,3,5,7,4,6,5,5,4,6,5,4,5,3,6,4,9,9
TRUE,EN,I agree,616c7baa1d92bd448da144fc,4,7,6,7,9,1,7,3,4,7,3,7,7,3,7,7,6,4,5,3,6,3,6,4,6,1,9,8,8,2,3,7,5,2,6,8,1,9,7,3,7,7,6,8,5,7,1,8,7,2,5,3,8,7,9,9
TRUE,EN,I agree,5f7c3541f5e7bd01afb03c66,5,7,6,6,3,4,5,3,6,7,6,7,5,4,6,5,9,5,5,1,5,1,5,1,5,2,9,9,5,1,6,9,5,1,6,5,8,8,5,2,6,8,6,7,3,5,1,5,5,1,5,2,5,4,9,9
TRUE,EN,I agree,5f5c983ce742b548181ef1e7,1,9,5,7,6,2,5,2,6,7,8,9,5,2,9,7,6,8,7,1,5,3,4,2,7,2,7,8,6,3,3,7,6,2,2,9,9,8,5,5,3,8,3,8,2,5,5,6,5,6,6,2,8,6,5,5
TRUE,EN,I agree,5eab1e2cc8c0ac0d8262feaf,6,7,9,9,8,4,8,3,4,6,1,9,5,3,8,6,8,8,7,2,6,4,8,1,5,2,9,8,7,1,7,8,6,3,9,9,9,9,6,2,4,8,9,7,7,4,2,8,8,3,6,1,9,5,9,9
TRUE,EN,I agree,602e1d9786b077907ed54b7c,7,8,8,8,8,1,9,2,4,8,3,8,6,2,7,7,6,8,6,1,5,2,7,2,6,2,8,8,8,1,2,8,5,1,3,9,6,9,5,2,4,9,5,8,3,7,1,8,5,2,7,1,6,4,9,9
TRUE,EN,I agree,613e18a657a258cec950ea57,7,7,8,8,9,1,9,1,4,7,1,9,7,3,7,7,4,9,3,2,5,2,8,1,9,1,9,9,9,1,3,8,8,1,4,9,2,9,8,1,9,9,7,8,6,6,2,9,7,1,6,1,8,7,9,9
TRUE,EN,I agree,5d28ef183855b80001ce6bad,8,2,6,7,9,1,6,4,4,7,1,8,8,2,3,8,8,4,8,2,6,2,7,2,9,1,7,8,9,1,3,8,4,1,3,8,1,9,9,1,2,8,4,6,2,8,1,9,4,1,1,6,6,5,9,9
TRUE,EN,I agree,60c75eb8c7c62c1cabd3f275,6,6,7,8,7,2,5,2,3,7,2,8,6,3,6,6,2,8,3,3,6,4,5,2,5,3,8,8,6,2,1,9,5,2,8,9,8,9,6,2,6,5,3,6,5,6,1,8,5,4,4,3,5,5,9,9
TRUE,EN,I agree,605078acfacdf29739766fe7,5,7,8,9,9,1,5,3,4,6,3,7,7,3,6,8,8,8,5,4,5,3,6,3,7,3,8,8,9,1,3,7,7,1,6,7,3,9,8,2,4,7,6,7,1,9,2,8,4,4,5,3,6,5,9,9
TRUE,EN,I agree,56875805369319000c2694b8,3,7,9,8,9,2,8,1,2,5,3,8,8,2,5,7,6,7,5,5,5,1,5,1,7,2,9,6,9,2,7,8,5,1,3,9,9,9,8,1,4,9,5,8,6,5,2,9,5,2,6,1,8,6,9,9
TRUE,EN,I agree,5ddfa82bb28cf701132e7a78,5,8,5,7,7,2,5,4,5,8,4,6,5,3,5,5,6,5,5,3,5,3,5,2,5,3,7,8,5,3,5,6,5,2,7,9,5,8,5,2,5,6,5,6,5,5,5,7,5,4,5,3,5,5,9,9
TRUE,EN,I agree,5f496d9b8d19d84c8be54981,1,6,9,7,7,3,6,3,4,7,3,8,1,4,9,7,2,2,2,2,3,3,2,4,5,1,9,6,6,1,6,9,1,1,5,9,7,6,2,2,8,6,7,7,5,7,3,8,2,1,2,3,2,7,9,9
TRUE,EN,I agree,5f310877a901af046cd5f569,3,8,1,8,2,1,2,2,6,9,5,7,5,5,5,6,9,3,3,1,3,1,3,2,5,3,7,7,4,5,3,7,3,3,8,8,9,9,7,2,7,9,9,7,2,7,2,6,2,2,7,2,7,4,9,9
TRUE,EN,I agree,5e5dbdea394d080eb6e116ce,8,8,9,9,6,2,6,2,8,8,8,7,4,3,7,7,8,8,4,2,6,1,3,2,6,2,9,9,6,1,9,9,4,1,8,8,9,9,4,1,8,8,6,6,6,5,9,9,4,1,3,2,6,5,9,9
TRUE,EN,I agree,5cd47eac121337001afb9e96,7,8,8,8,8,1,2,2,9,9,8,9,4,2,6,9,8,9,8,2,2,2,3,1,5,2,8,9,3,8,8,9,2,1,9,9,9,9,2,4,8,9,6,7,6,7,8,9,6,7,3,2,9,9,3,6
TRUE,EN,I agree,5a919d4cdbdb470001ee8555,8,7,6,8,9,4,7,3,8,9,7,8,6,4,5,7,7,7,4,2,6,1,6,1,7,2,9,9,8,4,3,5,8,1,6,8,9,9,8,1,3,7,8,9,5,6,4,6,3,3,6,1,4,5,9,9
TRUE,EN,I agree,5fdf8a2ac299b87f27c38e9d,7,8,6,9,4,3,7,1,1,9,1,9,5,1,6,6,9,9,4,2,7,1,7,1,7,1,9,9,9,1,1,9,4,1,1,9,9,9,6,1,1,9,7,9,9,5,1,9,6,2,5,1,9,5,9,9
TRUE,EN,I agree,5fae19fbde495925ff78fbed,6,7,3,7,7,3,1,4,8,7,7,9,1,3,8,7,8,7,5,2,6,6,1,3,3,2,8,9,7,3,2,7,2,1,4,8,9,7,2,3,4,7,6,7,2,6,3,7,1,1,1,1,7,7,9,9
TRUE,EN,I agree,60feb850ee121318fe8aa031,4,8,8,9,9,1,6,1,6,7,3,8,5,3,6,5,9,9,6,1,5,2,7,1,7,1,9,9,8,1,9,9,6,1,9,9,9,9,5,1,8,8,7,7,6,5,1,8,5,1,3,1,8,6,9,9
TRUE,EN,I agree,5e4feb8037713502e9ed364b,3,8,7,8,7,1,6,2,7,7,2,8,7,3,6,7,8,7,5,2,6,2,6,2,7,1,6,7,6,1,3,7,6,1,7,8,2,9,8,2,6,8,7,8,6,4,1,8,5,3,7,1,7,4,9,9
