Duration (in seconds),Finished,UserLanguage,PROLIFIC_PID,Consent,EMOTION,Recall,Specific Event,4_Item_1,5_Item_1,6_Item_1,7_Item_1,8_Item_1,9_Item_1,10_Item_1,11_Item_1,12_Item_1,13_Item_1,14_Item_1,15_Item_1,16_Item_1,17_Item_1,18_Item_1,19_Item_1,20_Item_1,21_Item_1,22_Item_1,23_Item_1,24_Item_1,25_Item_1,26_Item_1,27_Item_1,28_Item_1,29_Item_1,30_Item_1,31_Item_1,32_Item_1,33_Item_1,34_Item_1,35_Item_1,36_Item_1,37_Item_1,38_Item_1,39_Item_1,40_Item_1,41_Item_1,42_Item_1,43_Item_1
229,True,EN,5edc20443467e28ec4e30f93,I agree,RELIEF,I felt relief when i have done all of my homework. This stopped me from feeling stressed and anxious,Homework,7,8,8,7,7,9,9,3,8,6,4,7,5,7,3,6,6,6,7,4,8,3,8,7,7,8,6,7,5,4,3,6,6,7,6,6,7,7,4,-99
381,True,EN,61bb383a40db417c1a138bf3,I agree,NERVOUSNESS,"When I started a new course at college, I’d not been college for years let alone in learning, so attending a new class made me nervous.","College ",9,9,9,-99,1,1,9,7,9,1,1,9,1,1,1,1,-99,7,9,9,1,9,1,9,1,9,3,-99,1,9,9,5,1,1,9,1,1,8,4,-99
382,True,EN,60670075662d19e13a79d7e9,I agree,EXCITEMENT,I applied to a masters degree and I didn't know if I would meet the requirements but few days later I received the offer to pursue my masters degree and I felt really excited that I would achieve my goal.,The offer to my masters degree,8,5,8,8,7,-99,6,-99,4,3,-99,7,1,1,-99,1,2,5,-99,7,-99,6,1,-99,9,5,6,2,1,-99,3,1,-99,6,9,3,1,6,4,-99
629,True,EN,6154ea62a48afeb4f2527582,I agree,SADNESS,"A couple of days ago, my mum rang me to say that my nan had passed away. Despite expecting the call, I obviously was very sad and upset about this news. It took a while for the news to sink in and for me to accept what had happened.",yes,8,1,1,1,3,1,1,9,1,1,2,1,7,1,1,1,1,7,1,3,1,9,9,9,2,9,2,6,1,3,9,1,3,1,9,9,1,1,4,-99
486,True,EN,614b2ae5644dcd015db6fc7f,I agree,AMUSEMENT,My husband and I went to see a stand up comedian at a local small club.  He was extremely funny and entertaining and my mouth actually hurt from smiling and laughing!,"The comedian's jokes and stories ",9,8,3,7,9,9,2,7,6,-99,4,3,1,5,6,2,3,6,7,7,7,7,6,7,-99,8,1,8,1,3,8,6,3,3,9,7,1,7,4,-99
574,True,EN,601bef4596efd9620b3891dc,I agree,CONFUSION,"I got a letter through the post from the gas company with my new bill but it didn't make sense. They said I owed a certain amount but it was a lot more than usual and I had credit on my account so I couldn't understand why the bill was so much and how the gas company had worked that out to be what I owed. ",Gas company bill,1,1,1,3,3,5,1,2,1,4,4,1,9,3,5,5,5,3,6,6,5,9,1,6,4,4,6,6,1,3,7,1,1,1,7,4,6,9,4,-99
413,True,EN,5f6b5c93e883f702cefa0410,I agree,REMORSE,I had a job interview that I wasn't as well prepared for as I could have been. I missed out on the job and the feedback was that I was a good candidate but my interview wasn't great. I felt remorse that I missed out on the opportunity by not being fully prepared.,My lack of preparation,6,1,3,7,9,4,9,2,9,1,9,7,1,5,7,1,1,2,3,6,2,8,1,9,7,9,9,4,1,9,6,6,1,9,7,3,4,1,4,-99
498,True,EN,60c7360f03fbda9ebec3fe6f,I agree,ANGER,The last time i was anger was on new years eve .When my cousin was acting very weirdly and was doing everything to get me angry .She did everything in her power to get me angry by truly being rude.,That she was very rude to me.,1,6,8,1,6,2,9,9,2,7,9,7,1,1,8,7,7,7,8,7,7,8,3,2,7,7,3,8,1,6,1,9,1,7,1,7,1,7,4,-99
544,True,EN,5fbbec0578a2090258d6fef9,I agree,DESIRE,"Before one of my exams in school, I had a strong desire to get the best grade I could get. I found that subject really difficult to understand. So I studied really hard for that exam all week and in the end I did great in it. ",The difficulty in the subject I was studying,7,8,9,8,1,1,5,1,9,9,1,9,1,8,9,8,9,3,9,8,1,-99,-99,1,5,8,9,8,1,9,9,8,1,9,9,8,1,9,4,-99
250,True,EN,5fb030a9037a4739ffa981f6,I agree,ANGER,When my friend kept repeating over and over the issues they was having that I felt was really silly and it got me quite mad,The tone my friend was using,7,2,1,1,9,4,1,8,3,1,2,1,9,7,8,2,1,3,7,7,2,9,1,8,1,8,2,8,1,1,9,1,9,1,1,6,1,3,4,-99
268,True,EN,5f38fe8bd064d642ebb99db6,I agree,DISAPPOINTMENT,When a covid lockdown was annonced just before Christmas 2020. All shops and restaurants were ordered to close and mixing with people outside of you household was not allowed.,Covid,7,7,7,1,3,4,4,9,7,7,2,6,6,7,7,3,4,1,7,3,5,9,7,1,7,7,7,4,4,6,9,7,7,1,9,4,8,6,4,-99
438,True,EN,5f43f7980ce1236cd3d256e5,I agree,DISGUST,"I visited my parents for family sunday lunch. Normally its a roast chicken with potatoes, veg, gravy etc. This time she dished up fried liver with onions. I'd never eaten it before as I've not liked other organ meats I've tried but its polite to eat meals cooked for you. I couldn't even swallow one mouthful. Both the texture and taste were revolting. I felt guilty and rude to my mum but Liver is disgusting. ",The taste and texture of the liver i tried to eat,2,1,1,-99,9,1,1,4,1,1,9,1,5,1,5,7,1,7,1,8,7,9,8,7,6,1,6,9,1,6,9,1,7,1,8,8,5,6,4,-99
509,True,EN,610d1719e7f6a482de0d254c,I agree,FEAR,"My most recent memory of feeling afraid was during the start of the Covid19 pandemic when the first lockdown occurred after originally thinking that it was nothing to worry about watching the news and seeing the deaths and the overwhelming amount of cases in areas close to use really made me scared. Then to see the country put into lockdown, something i had never experienced in my life time or heard about confirmed all the worry, ","The unknown of what was to come ",1,1,1,-99,4,-99,1,9,1,2,-99,2,7,1,9,2,1,1,8,6,6,9,7,6,8,3,6,1,8,1,9,-99,9,1,9,7,9,8,4,-99
317,True,EN,5db6e588867c22000dfffa54,I agree,CARING,"I felt caring when I took the time to crochet a doily for my mom for her birthday. I spent hours on it, and she loved it. I put a lot of effort into it so I felt caring.",Crocheting a doily for my mom,5,5,7,5,9,9,9,9,9,2,9,7,1,1,2,1,1,3,1,9,9,9,1,8,3,9,3,3,1,1,9,9,5,3,9,7,4,2,4,-99
406,True,EN,5b79b92355860100014774f0,I agree,EMBARRASSMENT,"When I was a young teen, I was walking to school across a snowy slope and kept losing my footing. Every step or so I fell down. To make it worse, a group of fellow pupils stood at the road running alongside the slope stood laughing and pointing. I had to call a former friend  from further along to come and help me up and get me off the snow.",Seeing everyone laughing at me.,2,1,1,3,2,7,6,2,3,6,2,8,6,2,6,9,4,2,4,3,9,9,7,3,3,3,6,8,2,7,7,4,6,7,7,7,3,3,4,-99
467,True,EN,5ecfcaafb0ade503bff948e0,I agree,GRIEF,"When I was 8 years old, my paternal grandfather had a stroke and was then admitted to hospital, when I'd assume my parents were told by medical professionals that it was unlikely that he'd survive for very long. I can vividly remember being taken in the car to the hospital ward - in the early evening - to say goodbye to him, and it was deeply distressing seeing all of the medical equipment surrounding him and 'preserving' him for a bit longer. When he eventually died, it upset me for a long time - even though I was well aware of his poor health - and it was a deeply distressing moment for my usually stoic father as well.",The death of a family member,6,1,1,1,1,1,1,9,1,2,9,1,9,1,9,7,6,7,8,9,7,9,9,9,6,1,8,6,1,3,8,6,7,1,9,9,1,8,4,-99
648,True,EN,5c364ce2ba92810001db13e8,I agree,APPROVAL,i felt approval when i cooked a meal for my family  and everyone enjoyed and cleared their plate.  They all thanked me and told me how much they enjoyed the meal that i had prepared and cooked for them.,being told the meal was enjoyable,6,8,6,7,7,6,7,8,6,8,8,7,3,8,8,4,4,6,8,7,4,8,-99,8,3,9,4,4,-99,5,6,4,2,6,8,6,4,3,4,-99
350,True,EN,5f1732153f88740671925041,I agree,EXCITEMENT,The summiting of Kilimanjaro a few years ago was very exciting. It was the culmination of months of hard work. Finally topping out was exhilarating,Achievement of climbing the mountain,6,7,7,7,2,8,7,6,6,5,4,9,1,2,2,2,2,6,2,6,5,8,8,8,4,4,7,7,6,5,9,6,6,7,8,6,7,5,4,-99
1103,True,EN,5f01dbf0f5ef5d052ced1135,I agree,GRATITUDE,A time I felt so much gratitude was after the loss of my job. I will keep the story very short. I lost my job and I have to leave where I was currently staying because of financial difficulties. A friend asked me to move in with her while she arranged for my stuff to be packed and moved into a garage pending the time I was to get my life together.,That was the help I needed at that specific time.,9,9,5,9,8,9,1,9,5,5,9,5,9,9,5,5,8,5,5,9,9,9,-99,9,9,5,5,9,1,9,9,5,5,5,9,9,9,5,4,-99
591,True,EN,612e4beb040a04a82b16d4c3,I agree,OPTIMISM,"When I completed and uploaded my last TikTok video, I was optimistic about its impact as I had put a lot of effort into it and felt like it was my best work so far. I decided to post an additional video that I had made half a year earlier, which was far less accomplished in my opinion.

It turned out that my older, less impressive video attracted more success than my latest one which I felt was technically and artistically better. ",Putting a lot of time into the newest video,1,-99,9,8,1,2,9,-99,2,7,9,6,1,7,6,3,1,8,8,7,4,1,1,1,4,9,3,4,1,9,9,8,1,9,6,7,1,9,4,-99
690,True,EN,5f5af4feefcdae201d3498a5,I agree,DISAPPOINTMENT,I felt disappointment when I wasn't successful after interviewing for a job that was the next natural step up in my field. My line manager had told me to apply and also interviewed me for the job. After he had conducted all the interviews he rang me up and told me I hadn't been successful but that my interview had still been good. I felt disappointed as I had already imagined myself in the role and due to the fact it would be a better salary I thought of the different possibilities I could achieve with an increase in salary.,Not being successful in my job interview,6,1,2,5,7,8,3,4,4,7,-99,6,1,3,6,1,4,3,3,7,6,9,1,8,7,6,6,7,1,4,6,4,3,7,6,4,4,7,8,-99
216,True,EN,5efa27ec1c76730eff3dad8e,I agree,AMUSEMENT,Me and my friend were cooking together and were messing around playing silly games. My friend was making me feel amusement by making me laugh.,My friend,6,8,6,9,9,7,2,9,7,6,9,2,4,7,6,1,3,5,8,9,1,8,2,9,1,8,1,9,1,6,6,5,5,2,9,1,1,1,4,-99
724,True,EN,5ea9916c3b32cf0dda50f621,I agree,ANNOYANCE,I have recently bought new non stick pans. I love to cook. My roommate used them and put them in the dishwasher ruining them. I told her how to wash them when I bought them.,My ruined pans,2,1,1,2,9,4,1,8,8,6,2,1,6,3,3,1,-99,2,2,7,1,9,-99,6,2,6,1,3,1,1,8,6,7,-99,-99,1,1,2,4,-99
373,True,EN,5c07d471e28f58000179fc1f,I agree,REMORSE,"When I was younger, I used my older sisters money to buy sweets and snacks without asking her if I could. I didn't share the snacks with anyone and lied when asked if I had used her money to buy them. The look on her face when she couldn't find the money was a horrible feeling.",The look on my sisters face.,7,1,1,6,9,9,9,9,6,3,6,7,3,4,5,8,6,4,3,3,3,2,1,3,6,7,7,9,1,6,7,1,1,3,6,4,4,4,4,-99
893,True,EN,5f305d059a58b14b23eeccb8,I agree,EMBARRASSMENT,i was emabarrassed one day when i waved and spoke to a stranger thinking they were talking to me. Turns out they were speaking to their friend,speaking and waving to the stranger,2,1,1,8,8,1,8,2,8,2,1,7,9,3,7,7,5,1,5,5,6,9,3,9,4,8,1,8,1,4,9,6,2,3,9,3,1,1,4,-99
487,True,EN,5f72041caffabc0cb00a3621,I agree,SADNESS,"I experienced sadness when my grandfather passed away. He got sick and was admitted to hospital for a month. He slowly recovered from his illness, however his immune system was severely compromised and he contracted an infection which he could not fight off. I felt great pain and sadness when he passed as we were close.",The passing of my grandfather,1,1,-99,-99,2,1,1,9,1,1,-99,1,6,3,8,6,7,-99,1,6,1,9,9,7,6,3,4,3,1,2,7,5,2,1,7,7,8,2,4,-99
376,True,EN,58556f5f71a3ef0001cc94f1,I agree,CURIOSITY,"When I wanted to research my ancestors history and find official documents, and I was particularly interested in finding out about my great grandad after stories I'd heard about him from family members, but I never knew his full life story, as a lot was kept quiet for some reason. I did some research and find out newspaper articles about a crime he'd committed.",The secrecy around his life story,1,5,1,6,7,5,4,9,2,1,6,1,5,5,2,7,9,5,1,6,2,9,5,6,7,6,1,9,1,1,9,1,3,1,6,1,1,9,4,-99
604,True,EN,610bb3c9b200924f787fe765,I agree,LOVE,"Meeting my first real girlfriend at high school. Never knew what that was before.
I had never dated anyone before this and it was all very new.",I'm not sure. That's a difficult question,1,8,9,8,9,3,7,9,4,7,8,9,7,2,3,1,3,4,8,6,6,9,5,8,6,9,7,8,1,9,9,9,8,7,9,7,3,3,4,-99
766,True,EN,5b742314dabac600010daff6,I agree,CARING,Recently my sister caught Covid and she lives alone.  I rang her daily and text her during other times.  I would check that she is eating something and getting enough fluids. All the time trying to encourage her to take care of herself and phone the doctors.  Its three weeks on and she still has not recovered properly.,She is my sister.,2,1,1,9,9,1,1,9,1,1,9,1,9,4,5,9,1,1,5,9,9,9,9,9,9,9,1,1,1,8,9,1,1,1,9,1,1,1,4,-99
356,True,EN,57c8f79aa4804100018b5864,I agree,PRIDE,"The nonprofit I founded was selected to be given a grant from a much larger, and well-known, organisation. As well as this being very helpful for our beneficiaries, this sort of recognition for the nonprofit's work made me feel pride. ",Recognition of the nonprofit I founded.,1,2,7,9,9,9,5,1,1,1,9,5,9,6,-99,1,7,-99,1,9,5,8,1,6,2,5,1,7,1,2,8,8,1,3,9,6,1,1,4,-99
381,True,EN,56c6f9efb0b7a1000c5d12d7,I agree,DISGUST,"A time when I applied for an internal vacancy at the company I work for - I spoke in detail about this with a colleague and he showed no interest in applying, but then subsequently did so, using the topics I had discussed with him as his examples, and getting the job ahead of me.",The sense of betrayal I felt,1,1,6,3,9,9,1,8,4,4,3,6,6,3,6,1,1,4,3,6,8,7,2,9,4,6,2,8,1,6,8,4,9,4,6,6,7,7,4,-99
251,True,EN,56a90c96119265000c6e134d,I agree,GRATITUDE,"I felt gratitude when my daughter brought me some lovely presents from Germany, some liquor and bubble bath, especially the fact that she isnt very well off, living off her student loan.",when i was visiting my daughter,4,9,9,8,9,9,1,8,7,1,8,2,6,7,8,8,8,8,7,9,7,9,1,9,1,8,2,7,2,3,9,7,7,7,9,4,2,2,4,-99
400,True,EN,605320aca1a6ebdd2e502753,I agree,DISGUST,When I ate goat stew in Greece and it was including goat hair. I left the restaurant and threw up. It was very unpleasant since I felt sick and it was very hot outside. I just regretted going on this holiday and was sick for 24 hours after that,Goat hair in my meal,1,1,-99,1,8,1,1,7,1,1,1,7,9,1,3,1,1,2,3,7,1,6,1,1,2,8,1,8,1,9,8,1,7,8,7,2,1,1,4,-99
312,True,EN,60c8812ddef199f24a17aeff,I agree,FEAR,"When I went to Thorpe Park Fright night and a clown chased me. I froze at first but I couldn't stop screaming. My friends had to drag me out of the maze. After I got out of the maze, I swear I had a panic attack. I couldn't breathe and I had to take a few minutes to calm down.",Clowns,6,1,-99,5,7,-99,-99,6,-99,-99,7,1,9,1,6,1,4,-99,7,7,-99,-99,8,2,-99,9,9,6,1,5,9,-99,1,-99,9,4,1,5,4,-99
550,True,EN,60693e637bc58fc13d57b1a7,I agree,SURPRISE,"The first term when I was introduced into Forex industry of how people use it to make extra income.

From that day I dedicated my time to learn Forex and how it can improve my financial state.",Money,1,9,9,9,7,1,1,2,9,9,8,6,8,3,7,1,2,9,1,8,9,9,5,2,9,5,1,1,1,8,1,5,9,8,9,9,6,9,4,-99
391,True,EN,5f1c74f81af38d514e2a50bb,I agree,ANGER,"When I found out a work colleague had gone behind my back and taken my idea to our supervisor. Gained all the credit and as a result got promoted instead of me. ","The fact that I had been betrayed by my colleague ",3,1,6,1,9,9,2,8,2,6,9,8,3,2,7,2,7,4,3,1,8,8,2,9,9,3,2,1,1,3,9,4,7,3,8,8,3,7,4,-99
566,True,EN,6111935a1c5697ec730d7485,I agree,NERVOUSNESS,"After graduation university, I had two two job offers. One in the city I had lived in for the last number of years and the other in a different continent to which I had never been. I had to decide which route to take, staying where I was and a situation I knew or moving into the unknown and the adventure that came with it. I was nervous because I did not know what decision would be the right one, or what the implications of each option may be. In the end, I decided to move to the new country for the less comfortable, more adventurous job/life decision."," I was unsure what decision to make",3,5,7,7,5,7,7,6,8,8,1,5,7,2,9,1,1,3,1,7,6,8,5,4,8,8,7,2,1,6,9,7,9,7,9,6,7,6,4,-99
481,True,EN,605cdb775245fd037b89ce7b,I agree,DISAPPOINTMENT,I felt disappointment when i failed a college test that i had studied really hard for because i have to take that class again next year,i was sad,1,9,9,1,6,7,8,1,8,8,7,9,3,8,8,3,1,2,8,7,8,8,5,8,9,8,9,1,1,9,8,8,2,8,8,8,1,2,4,-99
307,True,EN,5f1c62b6554a0f4f129c75fd,I agree,DISAPPOINTMENT,I felt disappointment when a project that I had worked so hard on got a poor grade. It was a project that took quite a while to do and one that I really cared about getting a high grade for. I was not expecting the grade I got for it at all so I was disappointed,Poor grade,2,2,3,5,3,2,7,1,7,6,-99,7,4,4,-99,-99,1,2,5,6,2,3,2,5,6,-99,7,6,1,9,5,-99,-99,7,8,3,1,2,4,-99
256,True,EN,616d5288cce8d844d2c858a9,I agree,NERVOUSNESS,"The last time I felt very nervous was starting a new job. I was shaking and felt out of breath walking into a new office. 
I decided to take a deep breath and just smile and be polite 
Luckily it turned out well but the nervous feeling I’ll never forget",Starting a new job,8,8,7,5,1,1,9,1,8,6,6,9,5,9,6,3,9,9,8,8,5,7,1,9,9,9,7,9,1,9,9,5,7,9,8,9,1,2,4,-99
262,True,EN,5ea00c9769e0250009a479df,I agree,ANGER,"it is too long ago for me to remember any time when I felt anger, I frequently get frustrated but can not express this as anger",n/a,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,-99,6,-99,-99,-99,-99,7,-99,-99,-99,6,-99,6,-99,-99,-99,-99,-99,-99,4,-99
268,True,EN,60cfbfd8b5865f350977409d,I agree,DESIRE,"Sometimes I feel the desire to see someone again or speak to them again.This is someone that I miss in my life. I desire to have them back in my life. ",I miss someone.,9,3,2,7,8,2,8,9,2,6,3,9,6,3,9,4,7,5,9,2,7,8,6,9,8,9,2,1,1,6,9,8,9,7,9,9,1,7,4,-99
240,True,EN,5ece7b97ba09f5253c4c0238,I agree,REALIZATION,"when I gave birth to my daughter i realised that i would be a mother forever, i had been pregnant for 9 months and read all the books but it wasnt until i actually gave birth that  I became fully aware",the giving birth made me realise,6,7,7,6,6,6,6,9,6,4,4,6,4,4,7,4,4,4,4,7,6,8,9,4,6,4,9,4,4,7,8,4,7,4,8,7,4,7,4,-99
